epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8715,1.54633,1.86418,1.34819,0.3684,0.2715,0.25839,0.11554,1.87724,2.79194,1.65869,0.0670419,0.000165618,0.000165618
2,59.9995,1.39073,1.30327,1.26254,0.67364,0.69302,0.70744,0.41561,1.32573,1.32305,1.24536,0.033872,0.000328995,0.000328995
3,89.3033,1.34668,1.16972,1.23942,0.7621,0.7285,0.78719,0.47973,1.28974,1.08568,1.21017,0.000698716,0.000489073,0.000489073
4,118.534,1.32555,1.12109,1.23107,0.77068,0.74143,0.79344,0.50883,1.22916,1.06459,1.20041,0.00048515,0.00048515,0.00048515
5,147.593,1.29974,1.0568,1.2174,0.77163,0.76548,0.80191,0.50855,1.22957,1.04431,1.18327,0.0004802,0.0004802,0.0004802
6,176.699,1.28241,1.00836,1.20092,0.76337,0.74586,0.79182,0.49953,1.23532,1.01433,1.19632,0.00047525,0.00047525,0.00047525
7,205.77,1.26369,0.98309,1.19367,0.76758,0.79435,0.81615,0.53064,1.18061,0.96455,1.16553,0.0004703,0.0004703,0.0004703
8,234.991,1.2487,0.96291,1.18504,0.73216,0.75646,0.77293,0.50509,1.18037,1.01919,1.16332,0.00046535,0.00046535,0.00046535
9,264.266,1.22579,0.93334,1.17493,0.74787,0.77588,0.79152,0.51435,1.19528,1.08513,1.16474,0.0004604,0.0004604,0.0004604
10,293.586,1.22728,0.92605,1.17653,0.78447,0.76127,0.80203,0.52553,1.17355,0.96061,1.16668,0.00045545,0.00045545,0.00045545
11,323.266,1.20752,0.89508,1.16608,0.80825,0.76546,0.81818,0.53784,1.17929,0.96499,1.1747,0.0004505,0.0004505,0.0004505
12,353.368,1.20322,0.88537,1.15989,0.79526,0.79531,0.82251,0.54348,1.15771,1.02267,1.15146,0.00044555,0.00044555,0.00044555
13,383.459,1.18896,0.85739,1.15436,0.7669,0.83091,0.83099,0.55735,1.138,0.87306,1.13906,0.0004406,0.0004406,0.0004406
