epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1756,1.64468,2.01559,1.48144,0.70775,0.4782,0.59137,0.32285,1.54648,2.19675,1.46066,0.0670772,0.000165441,0.000165441
2,52.0592,1.46213,1.41517,1.34587,0.74698,0.62659,0.69758,0.39813,1.38655,1.47082,1.31063,0.0339073,0.00032882,0.00032882
3,77.1545,1.415,1.27958,1.30232,0.76067,0.66623,0.72902,0.4162,1.43783,1.41043,1.32074,0.000733997,0.000488899,0.000488899
4,102.497,1.37764,1.20501,1.28733,0.78233,0.72391,0.767,0.44897,1.36864,1.29877,1.30186,0.00048515,0.00048515,0.00048515
5,128.051,1.35873,1.15106,1.27868,0.80346,0.7424,0.80044,0.48097,1.35495,1.07433,1.28371,0.0004802,0.0004802,0.0004802
6,153.177,1.34879,1.11681,1.26634,0.76368,0.70894,0.76053,0.44826,1.3779,1.19556,1.30188,0.00047525,0.00047525,0.00047525
7,178.584,1.3248,1.07435,1.25255,0.74869,0.75605,0.75593,0.44955,1.34345,1.1931,1.27652,0.0004703,0.0004703,0.0004703
8,203.488,1.30003,1.0378,1.2466,0.82392,0.73763,0.7988,0.46446,1.35723,1.04324,1.27641,0.00046535,0.00046535,0.00046535
9,228.753,1.27759,1.02561,1.23397,0.83631,0.7151,0.80596,0.48015,1.3531,1.04106,1.2692,0.0004604,0.0004604,0.0004604
10,254.375,1.28165,0.9964,1.22768,0.81648,0.76706,0.81574,0.49353,1.33968,1.03889,1.23843,0.00045545,0.00045545,0.00045545
11,280.576,1.25355,0.98079,1.21711,0.81182,0.76554,0.80879,0.50322,1.29378,1.00726,1.24119,0.0004505,0.0004505,0.0004505
12,305.831,1.25587,0.96849,1.22543,0.83147,0.77455,0.8237,0.51624,1.26324,0.95441,1.22862,0.00044555,0.00044555,0.00044555
13,330.462,1.23068,0.93586,1.20913,0.84884,0.74901,0.82613,0.51263,1.30814,0.97387,1.25112,0.0004406,0.0004406,0.0004406
14,356.33,1.22031,0.9218,1.20144,0.8457,0.77543,0.84129,0.53248,1.26614,0.94311,1.22123,0.00043565,0.00043565,0.00043565
15,381.829,1.21054,0.91383,1.19406,0.82554,0.77513,0.82952,0.52382,1.28509,0.94782,1.23474,0.0004307,0.0004307,0.0004307
16,407.571,1.20835,0.901,1.18845,0.84737,0.75826,0.82899,0.52607,1.29261,0.9439,1.23764,0.00042575,0.00042575,0.00042575
17,433.177,1.19909,0.89282,1.19048,0.83514,0.77851,0.82986,0.53568,1.25109,0.89302,1.20208,0.0004208,0.0004208,0.0004208
18,459.089,1.18979,0.87971,1.18022,0.83405,0.77014,0.82865,0.52939,1.21475,0.9035,1.20485,0.00041585,0.00041585,0.00041585
19,485.409,1.18163,0.86845,1.17924,0.83256,0.74945,0.80525,0.50329,1.28718,1.01932,1.23259,0.0004109,0.0004109,0.0004109
20,511.64,1.17285,0.8599,1.16711,0.84516,0.7631,0.82587,0.53227,1.24113,0.92193,1.21487,0.00040595,0.00040595,0.00040595
21,536.892,1.17613,0.84362,1.1676,0.84764,0.77415,0.82701,0.52207,1.27293,0.91163,1.23701,0.000401,0.000401,0.000401
22,562.654,1.15528,0.83406,1.16443,0.8486,0.77719,0.83104,0.52158,1.25861,0.93483,1.21571,0.00039605,0.00039605,0.00039605
23,587.679,1.16201,0.83821,1.16747,0.82931,0.77631,0.81019,0.51346,1.26994,0.94315,1.22062,0.0003911,0.0003911,0.0003911
24,613.877,1.14791,0.82936,1.1501,0.83465,0.79129,0.83321,0.53764,1.25039,0.90631,1.2198,0.00038615,0.00038615,0.00038615
25,638.524,1.13213,0.81215,1.14401,0.83417,0.79516,0.82316,0.52793,1.23311,0.89319,1.21088,0.0003812,0.0003812,0.0003812
26,663.824,1.13072,0.81025,1.14686,0.85796,0.78994,0.83284,0.54931,1.20859,0.85843,1.18553,0.00037625,0.00037625,0.00037625
27,689.723,1.12918,0.79144,1.14635,0.86087,0.76563,0.84072,0.54412,1.22853,0.86128,1.19764,0.0003713,0.0003713,0.0003713
28,715.49,1.12473,0.79994,1.14214,0.84488,0.77719,0.82977,0.53106,1.22765,0.8774,1.20885,0.00036635,0.00036635,0.00036635
29,741.223,1.10958,0.79362,1.14131,0.84509,0.7838,0.83814,0.54152,1.23012,0.86571,1.21132,0.0003614,0.0003614,0.0003614
30,766.9,1.11422,0.77668,1.13764,0.85069,0.78556,0.83983,0.54254,1.23315,0.86413,1.19824,0.00035645,0.00035645,0.00035645
31,792.469,1.10331,0.76837,1.12449,0.8326,0.7882,0.83612,0.54343,1.22307,0.86313,1.20903,0.0003515,0.0003515,0.0003515
32,817.924,1.10248,0.77282,1.13414,0.82294,0.79815,0.83335,0.5381,1.2226,0.85995,1.20555,0.00034655,0.00034655,0.00034655
33,843.525,1.09028,0.76077,1.12441,0.85984,0.75429,0.82297,0.52581,1.26853,0.92525,1.21732,0.0003416,0.0003416,0.0003416
34,869.771,1.09292,0.74783,1.12123,0.85093,0.78924,0.84382,0.55452,1.20899,0.85257,1.18833,0.00033665,0.00033665,0.00033665
35,895.419,1.07712,0.74576,1.11658,0.83893,0.80581,0.84299,0.54662,1.22173,0.82921,1.20039,0.0003317,0.0003317,0.0003317
36,920.749,1.07884,0.74561,1.1147,0.81517,0.77587,0.80587,0.52128,1.21967,0.91379,1.19471,0.00032675,0.00032675,0.00032675
37,946.864,1.06967,0.74363,1.11051,0.84194,0.786,0.83512,0.55161,1.22769,0.87918,1.20745,0.0003218,0.0003218,0.0003218
38,972.78,1.07323,0.73364,1.11298,0.84528,0.79701,0.84066,0.54772,1.21628,0.82516,1.19024,0.00031685,0.00031685,0.00031685
