epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0271,1.5328,1.75484,1.37025,0.57261,0.56193,0.56265,0.29093,1.59616,1.70609,1.49724,0.0669604,0.000166028,0.000166028
2,98.8703,1.38623,1.27709,1.27868,0.73529,0.67806,0.73678,0.43786,1.31172,1.34943,1.25032,0.0337904,0.000329401,0.000329401
3,147.951,1.34768,1.16506,1.24925,0.76225,0.71923,0.7632,0.46233,1.31713,1.17072,1.23742,0.000617188,0.000489474,0.000489474
4,196.661,1.33119,1.10987,1.24851,0.79684,0.72363,0.78504,0.47668,1.30039,1.09938,1.23578,0.00048515,0.00048515,0.00048515
5,245.466,1.30833,1.06138,1.23625,0.77642,0.76173,0.78987,0.49946,1.25537,0.99316,1.19939,0.0004802,0.0004802,0.0004802
6,293.831,1.28484,1.0266,1.22177,0.7702,0.77158,0.79527,0.50573,1.25695,0.97889,1.21012,0.00047525,0.00047525,0.00047525
7,342.514,1.25095,0.97921,1.20352,0.81453,0.78812,0.8328,0.54804,1.20693,0.89941,1.19368,0.0004703,0.0004703,0.0004703
8,391.439,1.24779,0.95167,1.20276,0.81386,0.77321,0.82198,0.52527,1.22706,0.92375,1.21438,0.00046535,0.00046535,0.00046535
9,439.606,1.23998,0.94822,1.2003,0.83229,0.78362,0.84296,0.548,1.21523,0.89713,1.20253,0.0004604,0.0004604,0.0004604
10,487.456,1.23338,0.93064,1.19521,0.81623,0.77919,0.83432,0.54272,1.21169,0.91995,1.1861,0.00045545,0.00045545,0.00045545
11,534.967,1.20971,0.89918,1.17732,0.79586,0.77972,0.81688,0.53372,1.1944,0.91504,1.19226,0.0004505,0.0004505,0.0004505
12,583.136,1.2023,0.89221,1.1786,0.82859,0.78474,0.8288,0.53883,1.20238,0.88208,1.19251,0.00044555,0.00044555,0.00044555
13,631.397,1.19883,0.87737,1.1758,0.8271,0.7859,0.84013,0.55962,1.18609,0.83773,1.17771,0.0004406,0.0004406,0.0004406
14,680.013,1.19292,0.867,1.1721,0.82931,0.79174,0.84123,0.55863,1.16853,0.8587,1.17503,0.00043565,0.00043565,0.00043565
15,729.696,1.1827,0.85659,1.1688,0.83656,0.8041,0.84891,0.5601,1.19181,0.82175,1.17343,0.0004307,0.0004307,0.0004307
16,777.091,1.1774,0.85376,1.16614,0.82814,0.80747,0.8502,0.56791,1.16915,0.82464,1.15628,0.00042575,0.00042575,0.00042575
