epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9821,1.53427,1.72717,1.36602,0.60459,0.60524,0.60507,0.30516,1.56826,1.72751,1.42335,0.0669604,0.000166028,0.000166028
2,107.092,1.40058,1.30394,1.27875,0.75002,0.69795,0.75048,0.45632,1.31593,1.24279,1.21094,0.0337904,0.000329401,0.000329401
3,159.745,1.36578,1.19306,1.25318,0.77529,0.72628,0.77774,0.48418,1.27575,1.0994,1.20998,0.000617188,0.000489474,0.000489474
4,211.099,1.34701,1.15168,1.24739,0.71882,0.67142,0.73002,0.43357,1.34837,1.20995,1.24058,0.00048515,0.00048515,0.00048515
5,263.258,1.32289,1.09203,1.23472,0.76968,0.75186,0.77692,0.47913,1.29213,1.09931,1.21496,0.0004802,0.0004802,0.0004802
6,316.872,1.2961,1.04897,1.21873,0.74707,0.76384,0.75718,0.47,1.27611,1.0239,1.20345,0.00047525,0.00047525,0.00047525
7,370.613,1.26934,1.01496,1.20291,0.78337,0.76576,0.80372,0.51793,1.20849,0.98088,1.17844,0.0004703,0.0004703,0.0004703
8,424.261,1.26416,0.98301,1.19644,0.81755,0.77301,0.82617,0.52088,1.25103,0.94634,1.20128,0.00046535,0.00046535,0.00046535
9,479.29,1.24987,0.97764,1.19323,0.82079,0.76556,0.82011,0.52057,1.24918,0.93223,1.20074,0.0004604,0.0004604,0.0004604
10,533.395,1.24167,0.94502,1.1858,0.82371,0.78248,0.83559,0.54509,1.18608,0.87455,1.15588,0.00045545,0.00045545,0.00045545
11,587.148,1.22474,0.91975,1.17823,0.81804,0.78993,0.83136,0.5469,1.17618,0.88435,1.1547,0.0004505,0.0004505,0.0004505
12,641.142,1.22365,0.92022,1.17767,0.8309,0.77393,0.82843,0.53018,1.21552,0.89838,1.18509,0.00044555,0.00044555,0.00044555
13,693.942,1.21324,0.90189,1.17408,0.80196,0.78187,0.81126,0.52718,1.19708,0.88361,1.1746,0.0004406,0.0004406,0.0004406
14,748.974,1.20499,0.89093,1.16454,0.83214,0.79033,0.83727,0.55243,1.17,0.8631,1.15042,0.00043565,0.00043565,0.00043565
15,803.912,1.20045,0.87926,1.16339,0.82526,0.80567,0.84224,0.55681,1.1697,0.8368,1.14633,0.0004307,0.0004307,0.0004307
16,857.346,1.18746,0.86613,1.15807,0.83294,0.78469,0.84004,0.56026,1.17523,0.88013,1.15408,0.00042575,0.00042575,0.00042575
17,910.086,1.18325,0.85913,1.15426,0.82195,0.80383,0.8432,0.55364,1.18609,0.8952,1.15974,0.0004208,0.0004208,0.0004208
18,963.607,1.17097,0.84689,1.1519,0.82222,0.80806,0.83472,0.54918,1.17408,0.85633,1.15407,0.00041585,0.00041585,0.00041585
19,1017.77,1.18021,0.85544,1.14985,0.84354,0.8002,0.85379,0.57062,1.13822,0.80858,1.13093,0.0004109,0.0004109,0.0004109
20,1071.61,1.17179,0.83743,1.14557,0.84937,0.80443,0.86081,0.5709,1.14579,0.80514,1.13429,0.00040595,0.00040595,0.00040595
21,1125.71,1.15719,0.82237,1.1397,0.83126,0.81591,0.85202,0.5674,1.16361,0.79317,1.13965,0.000401,0.000401,0.000401
22,1177.49,1.14904,0.81329,1.13528,0.83771,0.80468,0.84954,0.56528,1.16404,0.81026,1.14175,0.00039605,0.00039605,0.00039605
23,1229.36,1.15353,0.81808,1.14193,0.84481,0.81904,0.86186,0.57887,1.15151,0.76341,1.13689,0.0003911,0.0003911,0.0003911
24,1281.14,1.15032,0.80849,1.13576,0.84405,0.81867,0.85749,0.58391,1.14331,0.7729,1.12604,0.00038615,0.00038615,0.00038615
25,1333.51,1.1382,0.78546,1.1284,0.85799,0.8031,0.86261,0.57809,1.14764,0.77625,1.12963,0.0003812,0.0003812,0.0003812
26,1387.29,1.13827,0.79075,1.12801,0.85208,0.81793,0.86341,0.5873,1.11961,0.77017,1.12044,0.00037625,0.00037625,0.00037625
27,1439.58,1.14045,0.78788,1.12873,0.85315,0.80886,0.86553,0.58454,1.13339,0.7611,1.13034,0.0003713,0.0003713,0.0003713
28,1492.32,1.12575,0.77017,1.1252,0.82455,0.79511,0.84852,0.57906,1.12709,0.81282,1.12678,0.00036635,0.00036635,0.00036635
29,1545.45,1.11988,0.76985,1.12144,0.84003,0.81349,0.85399,0.57923,1.12537,0.77581,1.13218,0.0003614,0.0003614,0.0003614
30,1598.65,1.12972,0.77235,1.12578,0.83066,0.8299,0.86523,0.59424,1.12535,0.75418,1.12891,0.00035645,0.00035645,0.00035645
31,1651.83,1.12039,0.76152,1.12078,0.83919,0.81668,0.86427,0.58975,1.12438,0.75597,1.12003,0.0003515,0.0003515,0.0003515
32,1703.98,1.1146,0.7597,1.116,0.84636,0.81883,0.86942,0.57851,1.18001,0.75911,1.13269,0.00034655,0.00034655,0.00034655
33,1756.24,1.10932,0.7506,1.11352,0.83371,0.81511,0.85866,0.58169,1.13065,0.76523,1.12695,0.0003416,0.0003416,0.0003416
